-14 , -14 , -14 , 0
-12.9704 , -13.6233 , -9.50465 , 0.372889
-9.02375 , -10.7146 , -9.48649 , 0.275639
-9.86888 , -12.8231 , -6.15347 , -0.402734
-8.63899 , -10.5171 , -2.74988 , -0.292707
-9.15276 , -9.19092 , -0.900964 , 0.212639
-10.5309 , -6.78327 , 2.00539 , -0.350051
-11.5113 , -3.17211 , 3.90138 , -1.15521
-11.8798 , 1.27517 , 2.38963 , -1.44359
-11.787 , 3.37105 , 6.62277 , -1.7191
-12.3811 , 7.05902 , 9.86505 , -1.66547
-10.8519 , 10.6377 , 7.14795 , -1.41184
-6.34366 , 10.7022 , 7.14735 , -1.90313
-2.4467 , 11.0505 , 6.30184 , -2.90032
-2.16738 , 12.5297 , 2.06354 , -2.39801
2.31128 , 12.8924 , 0.0527295 , -2.32074
5.15497 , 13.1619 , 3.44589 , -1.75614
7.34789 , 12.3832 , 5.94351 , 2.94075
10.6103 , 13.898 , 6.64603 , 1.60567
10.879 , 13.421 , 11.3084 , 1.30006
13.7361 , 13.951 , 13.7724 , 0.109945
14 , 14 , 14 , 0
